Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,542970,-,-,-,34.21,-102.74,0,1166,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Alpha,Aerosol Optical Depth,Asymmetry,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Ozone,Relative Humidity,Solar Zenith Angle,SSA,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (295-385nm)
2013,1,1,0,30,0.2,1.21,0.027,0.62,0,0,0,0,1,-6.5,0,0,0,0,0.275,60.78,97.98,0.92,0.24,882,0.6000000000000001,292,1.5,0.0000,0.0000
2013,1,1,1,30,-0.7000000000000001,1.21,0.028,0.62,0,0,0,0,1,-6.7,0,0,0,0,0.277,63.88,109.72,0.92,0.24,882,0.6000000000000001,316,1.5,0.0000,0.0000
2013,1,1,2,30,-1.7000000000000002,1.2,0.03,0.62,0,0,0,0,1,-6.7,0,0,0,0,0.279,68.69,121.87,0.92,0.24,883,0.7000000000000001,338,1.5,0.0000,0.0000
2013,1,1,3,30,-2.5,1.19,0.033,0.62,0,0,0,0,1,-6.7,0,0,0,0,0.28300000000000003,72.82000000000001,134.23,0.93,0.24,883,0.7000000000000001,181,1.5,0.0000,0.0000
2013,1,1,4,30,-3.2,1.2,0.036000000000000004,0.62,0,0,0,0,4,-6.7,0,0,0,0,0.28600000000000003,76.92,146.57,0.93,0.24,884,0.7000000000000001,20,1.7000000000000002,0.0000,0.0000
2013,1,1,5,30,-4,1.22,0.039,0.62,0,0,0,0,1,-6.800000000000001,0,0,0,0,0.289,80.99,158.39000000000001,0.9400000000000001,0.24,884,0.7000000000000001,31,1.8,0.0000,0.0000
2013,1,1,6,30,-4.7,1.25,0.042,0.62,0,0,0,0,1,-6.9,0,0,0,0,0.291,84.58,167.55,0.9400000000000001,0.24,885,0.6000000000000001,37,1.6,0.0000,0.0000
2013,1,1,7,30,-5.300000000000001,1.29,0.043000000000000003,0.62,0,0,0,0,0,-7.1000000000000005,0,0,0,0,0.292,86.99,166.35,0.9400000000000001,0.24,885,0.6000000000000001,43,1.4000000000000001,0.0000,0.0000
2013,1,1,8,30,-5.9,1.32,0.044,0.62,0,0,0,0,0,-7.4,0,0,0,0,0.292,88.92,156.31,0.9400000000000001,0.24,885,0.5,43,1.2000000000000002,0.0000,0.0000
2013,1,1,9,30,-6.300000000000001,1.34,0.045,0.62,0,0,0,0,0,-7.7,0,0,0,0,0.292,89.56,144.33,0.9400000000000001,0.24,885,0.5,40,1.2000000000000002,0.0000,0.0000
2013,1,1,10,30,-6.6000000000000005,1.35,0.047,0.62,0,0,0,0,0,-8,0,0,0,0,0.292,89.83,131.96,0.9400000000000001,0.24,886,0.5,40,1.3,0.0000,0.0000
2013,1,1,11,30,-6.7,1.36,0.049,0.62,0,0,0,0,0,-8.3,0,0,0,0,0.293,88.67,119.62,0.9400000000000001,0.24,886,0.5,38,1.6,0.0000,0.0000
2013,1,1,12,30,-6.9,1.36,0.052000000000000005,0.62,0,0,0,0,0,-8.5,0,0,0,0,0.295,88.34,107.52,0.9500000000000001,0.24,887,0.5,34,1.8,0.0000,0.0000
2013,1,1,13,30,-6.6000000000000005,1.36,0.056,0.62,0,0,0,0,0,-8.700000000000001,0,0,0,0,0.297,84.8,95.87,0.9500000000000001,0.24,887,0.5,29,2.1,0.0000,0.0000
2013,1,1,14,30,-5.1000000000000005,1.36,0.059000000000000004,0.62,30,429,69,0,0,-8.8,30,429,0,69,0.298,75.14,84.78,0.9500000000000001,0.24,888,0.5,23,2.4000000000000004,0.0000,0.0000
2013,1,1,15,30,-3,1.36,0.06,0.62,58,740,250,0,1,-8.3,58,740,0,250,0.297,66.72,74.98,0.9500000000000001,0.24,888,0.5,19,2.6,12.2271,9.3969
2013,1,1,16,30,-1.1,1.37,0.057,0.62,71,871,416,0,4,-7.9,235,220,0,322,0.294,59.89,66.67,0.9500000000000001,0.24,888,0.5,14,2.3000000000000003,16.9562,13.1787
2013,1,1,17,30,0.6000000000000001,1.36,0.056,0.62,79,930,536,0,1,-7.4,79,930,0,536,0.291,54.910000000000004,60.57,0.9500000000000001,0.24,889,0.5,169,1.9000000000000001,29.4503,22.9942
2013,1,1,18,30,1.8,1.33,0.047,0.62,78,965,597,0,0,-7.2,78,965,0,597,0.28800000000000003,51.36,57.43,0.9500000000000001,0.24,888,0.5,316,1.9000000000000001,33.3837,26.1081
2013,1,1,19,30,2.7,1.33,0.046,0.62,77,964,592,0,0,-7,77,964,0,592,0.28500000000000003,48.75,57.730000000000004,0.9500000000000001,0.24,888,0.5,306,2.3000000000000003,33.0522,25.8452
2013,1,1,20,30,2.9000000000000004,1.33,0.043000000000000003,0.62,72,941,522,7,4,-7.2,306,105,7,357,0.28200000000000003,47.54,61.43,0.9500000000000001,0.24,887,0.5,308,2.4000000000000004,19.5117,15.2265
2013,1,1,21,30,2.5,1.33,0.034,0.62,60,892,395,0,0,-7.4,60,892,0,395,0.28,48.13,67.97,0.9400000000000001,0.24,887,0.5,312,2,20.5808,15.9750
2013,1,1,22,30,0.6000000000000001,1.35,0.035,0.62,47,757,223,0,0,-7.4,47,757,0,223,0.279,55.21,76.59,0.9400000000000001,0.24,887,0.5,336,1.3,10.7651,8.2489
2013,1,1,23,30,-1.9000000000000001,1.3800000000000001,0.034,0.62,21,397,45,0,0,-8,21,397,0,45,0.278,63.22,86.55,0.9400000000000001,0.24,888,0.5,193,1.1,0.0000,0.0000
2013,1,2,0,30,-3.3000000000000003,1.3900000000000001,0.035,0.62,0,0,0,0,0,-8.8,0,0,0,0,0.276,65.51,97.84,0.9400000000000001,0.24,888,0.5,43,1.1,0.0000,0.0000
2013,1,2,1,30,-4,1.3900000000000001,0.036000000000000004,0.62,0,0,0,0,1,-8.8,0,0,0,0,0.275,69.53,109.58,0.9400000000000001,0.24,889,0.5,66,1.1,0.0000,0.0000
2013,1,2,2,30,-4.5,1.3900000000000001,0.035,0.62,0,0,0,0,7,-8.700000000000001,0,0,0,0,0.275,72.71000000000001,121.73,0.9400000000000001,0.24,889,0.5,81,1,0.0000,0.0000
2013,1,2,3,30,-4.800000000000001,1.4000000000000001,0.034,0.62,0,0,0,0,7,-8.6,0,0,0,0,0.277,74.77,134.09,0.9400000000000001,0.24,889,0.5,92,0.9,0.0000,0.0000
2013,1,2,4,30,-4.9,1.4000000000000001,0.033,0.62,0,0,0,0,7,-8.6,0,0,0,0,0.278,75.46000000000001,146.43,0.93,0.24,889,0.4,108,0.8,0.0000,0.0000
2013,1,2,5,30,-5.1000000000000005,1.3900000000000001,0.033,0.62,0,0,0,0,7,-8.6,0,0,0,0,0.279,76.71000000000001,158.25,0.93,0.24,889,0.4,136,0.7000000000000001,0.0000,0.0000
2013,1,2,6,30,-5.4,1.3900000000000001,0.031,0.62,0,0,0,0,7,-8.6,0,0,0,0,0.28,78.32000000000001,167.43,0.93,0.24,889,0.4,172,0.8,0.0000,0.0000
2013,1,2,7,30,-5.7,1.3800000000000001,0.03,0.62,0,0,0,0,7,-8.700000000000001,0,0,0,0,0.28,79.21000000000001,166.33,0.93,0.24,888,0.4,207,0.9,0.0000,0.0000
2013,1,2,8,30,-5.9,1.36,0.029,0.62,0,0,0,0,0,-8.9,0,0,0,0,0.281,79.26,156.35,0.93,0.24,888,0.4,235,1.1,0.0000,0.0000
2013,1,2,9,30,-5.800000000000001,1.34,0.028,0.62,0,0,0,0,4,-9.200000000000001,0,0,0,0,0.28300000000000003,76.68,144.38,0.93,0.24,888,0.30000000000000004,250,1.3,0.0000,0.0000
2013,1,2,10,30,-5.9,1.33,0.026000000000000002,0.62,0,0,0,0,1,-9.600000000000001,0,0,0,0,0.28500000000000003,75.04,132.01,0.92,0.24,888,0.30000000000000004,258,1.3,0.0000,0.0000
2013,1,2,11,30,-6,1.33,0.024,0.62,0,0,0,0,4,-10,0,0,0,0,0.28700000000000003,73.28,119.67,0.91,0.24,888,0.30000000000000004,265,1.2000000000000002,0.0000,0.0000
2013,1,2,12,30,-6,1.33,0.023,0.62,0,0,0,0,0,-10.4,0,0,0,0,0.28800000000000003,71.3,107.57000000000001,0.9,0.24,888,0.30000000000000004,271,1.2000000000000002,0.0000,0.0000
2013,1,2,13,30,-5.4,1.33,0.024,0.62,0,0,0,0,0,-10.600000000000001,0,0,0,0,0.289,66.58,95.91,0.9,0.24,888,0.30000000000000004,283,1.6,0.0000,0.0000
2013,1,2,14,30,-3.6,1.34,0.024,0.62,26,547,75,0,0,-10.700000000000001,26,547,0,75,0.29,57.77,84.8,0.9,0.24,889,0.30000000000000004,298,2.1,0.0000,0.0000
2013,1,2,15,30,-0.6000000000000001,1.35,0.024,0.62,46,834,262,0,1,-9.9,46,834,0,262,0.29,49.27,74.98,0.9,0.24,889,0.30000000000000004,317,2,12.8141,9.8480
2013,1,2,16,30,2.1,1.36,0.025,0.62,57,943,430,0,4,-9.700000000000001,242,200,0,321,0.29,41.47,66.65,0.9,0.24,889,0.30000000000000004,332,1.7000000000000002,16.9063,13.1401
2013,1,2,17,30,3.8000000000000003,1.36,0.026000000000000002,0.62,64,993,552,0,4,-9.600000000000001,277,340,0,444,0.29,36.79,60.52,0.91,0.24,889,0.30000000000000004,341,1.7000000000000002,24.4028,19.0537
2013,1,2,18,30,4.7,1.3900000000000001,0.028,0.62,67,1011,613,0,1,-9.8,67,1011,0,613,0.29,34.08,57.35,0.91,0.24,888,0.30000000000000004,350,1.8,34.2926,26.8199
2013,1,2,19,30,5.1000000000000005,1.4000000000000001,0.029,0.62,68,1008,607,0,0,-9.9,68,1008,0,607,0.29,32.85,57.63,0.91,0.24,888,0.30000000000000004,181,1.9000000000000001,33.9075,26.5152
2013,1,2,20,30,5,1.41,0.031,0.62,66,969,530,0,0,-10,66,969,0,530,0.29,32.82,61.31,0.92,0.24,887,0.4,15,2.1,28.9888,22.6238
2013,1,2,21,30,4.1000000000000005,1.42,0.032,0.62,59,907,401,0,0,-10,59,907,0,401,0.29,35.13,67.83,0.92,0.24,887,0.4,31,1.9000000000000001,20.9178,16.2390
2013,1,2,22,30,1,1.43,0.035,0.62,47,770,228,0,0,-8.4,47,770,0,228,0.29,49.49,76.45,0.92,0.24,887,0.4,45,1.5,11.0178,8.4447
2013,1,2,23,30,-2.3000000000000003,1.44,0.038,0.62,22,405,47,0,0,-9,22,405,0,47,0.291,60.08,86.42,0.93,0.24,888,0.4,54,1.6,0.0000,0.0000
2013,1,3,0,30,-3.3000000000000003,1.45,0.042,0.62,0,0,0,0,0,-10,0,0,0,0,0.292,59.910000000000004,97.7,0.93,0.24,889,0.4,59,1.9000000000000001,0.0000,0.0000
2013,1,3,1,30,-3.6,1.46,0.045,0.62,0,0,0,0,0,-9.700000000000001,0,0,0,0,0.294,62.480000000000004,109.44,0.93,0.24,890,0.4,62,2.2,0.0000,0.0000
2013,1,3,2,30,-4,1.47,0.047,0.62,0,0,0,0,0,-9.600000000000001,0,0,0,0,0.296,65.05,121.59,0.93,0.24,890,0.4,64,2.3000000000000003,0.0000,0.0000
2013,1,3,3,30,-4.4,1.46,0.049,0.62,0,0,0,0,0,-9.5,0,0,0,0,0.298,67.36,133.96,0.93,0.24,891,0.4,64,2.3000000000000003,0.0000,0.0000
2013,1,3,4,30,-4.7,1.46,0.049,0.62,0,0,0,0,0,-9.5,0,0,0,0,0.3,69.17,146.29,0.93,0.24,891,0.4,62,2.1,0.0000,0.0000
2013,1,3,5,30,-4.9,1.45,0.049,0.62,0,0,0,0,0,-9.3,0,0,0,0,0.301,71.01,158.11,0.93,0.24,892,0.4,60,1.9000000000000001,0.0000,0.0000
2013,1,3,6,30,-5.1000000000000005,1.44,0.048,0.62,0,0,0,0,0,-9.1,0,0,0,0,0.3,73.37,167.3,0.93,0.24,892,0.5,56,1.7000000000000002,0.0000,0.0000
2013,1,3,7,30,-5.2,1.43,0.047,0.62,0,0,0,0,0,-8.8,0,0,0,0,0.298,75.75,166.31,0.93,0.24,892,0.5,51,1.5,0.0000,0.0000
2013,1,3,8,30,-5.2,1.4000000000000001,0.046,0.62,0,0,0,0,0,-8.5,0,0,0,0,0.295,77.78,156.39000000000001,0.93,0.24,892,0.5,46,1.4000000000000001,0.0000,0.0000
2013,1,3,9,30,-5.2,1.3900000000000001,0.044,0.62,0,0,0,0,0,-8.200000000000001,0,0,0,0,0.293,79.7,144.43,0.93,0.24,892,0.5,43,1.3,0.0000,0.0000
